,OFIPS,startRR,ONODE,ODIST
539,29007.0,555.0,29061.0,3.921959826
540,29033.0,555.0,29040.0,6.664037814
541,29041.0,555.0,29033.0,28.71320316
542,29137.0,555.0,29069.0,20.85736223
543,29177.0,555.0,29042.0,11.44444216
544,34011.0,555.0,34001.0,31.38672837
545,39001.0,555.0,39009.0,26.62992659
546,39003.0,555.0,39113.0,1.148056926
547,39031.0,555.0,39115.0,37.44282344
548,39033.0,555.0,39049.0,3.81510698
549,39045.0,555.0,39119.0,20.4684356
550,39051.0,555.0,39093.0,5.628687845
551,39063.0,555.0,39112.0,3.345292387
552,39077.0,555.0,39046.0,15.04524408
553,39097.0,555.0,39003.0,14.31669408
554,39101.0,555.0,39050.0,1.098333234
555,39125.0,555.0,18006.0,22.64289996
556,39129.0,555.0,39119.0,19.69018394
557,39139.0,555.0,39037.0,10.58121458
558,39141.0,555.0,39070.0,4.660539707
559,39143.0,555.0,39045.0,7.691993174
560,39147.0,555.0,39045.0,8.542243493
561,39171.0,555.0,18007.0,16.89746691
562,42041.0,555.0,42024.0,14.99516257
563,42095.0,555.0,42043.0,7.35480225
564,42097.0,555.0,42038.0,4.388180193
565,45075.0,555.0,45040.0,23.82619325
566,51101.0,555.0,51072.0,19.9845246
567,18149.0,320.0,18072.0,28.64479137
568,39003.0,320.0,39113.0,1.148056926
569,39161.0,320.0,39089.0,26.31848373
570,1101.0,712.0,1049.0,12.69195107
571,17023.0,712.0,18047.0,22.3744997
572,17041.0,712.0,17062.0,40.94794936
573,17045.0,712.0,18010.0,22.9244276
574,17075.0,712.0,17175.0,4.934446102
575,17101.0,712.0,18008.0,11.64413675
576,17159.0,712.0,18008.0,30.79406785
577,17183.0,712.0,17062.0,6.919739795
578,18019.0,712.0,18015.0,14.17638405
579,18033.0,712.0,18006.0,6.719570561
580,18041.0,712.0,18001.0,32.78299798
581,18051.0,712.0,18009.0,2.800709497
582,18073.0,712.0,18053.0,16.79525111
583,18083.0,712.0,18008.0,5.356746091
584,18091.0,712.0,18078.0,17.67751953
585,18095.0,712.0,18018.0,4.631039823
586,18097.0,712.0,18066.0,1.28935266
587,18099.0,712.0,18004.0,22.8102761
588,18107.0,712.0,18020.0,0.56637166
589,18131.0,712.0,18053.0,15.65128463
590,18139.0,712.0,18001.0,17.71059652
591,18145.0,712.0,18001.0,0.915764118
592,18153.0,712.0,18039.0,0.853235303
593,18165.0,712.0,17062.0,21.31335976
594,18167.0,712.0,18047.0,1.400024669
595,18181.0,712.0,18082.0,0.469838158
596,21047.0,712.0,21020.0,20.61402129
597,21049.0,712.0,21002.0,1.864823007
598,21141.0,712.0,21048.0,21.51181574
599,21219.0,712.0,21048.0,12.54280734
600,26045.0,712.0,26066.0,16.10532004
601,26049.0,712.0,26003.0,2.912626142
602,26065.0,712.0,26066.0,13.29222038
603,29510.0,712.0,17057.0,4.428173994
604,36001.0,712.0,36006.0,9.803158659
605,36013.0,712.0,36025.0,45.81831465
606,37129.0,712.0,37044.0,5.256671522
607,37139.0,712.0,51077.0,36.69914107
608,39033.0,712.0,39049.0,3.81510698
609,39039.0,712.0,18006.0,22.42524277
610,39061.0,712.0,39024.0,2.581428744
611,39063.0,712.0,39112.0,3.345292445
612,39065.0,712.0,39054.0,8.778067087
613,39069.0,712.0,39094.0,7.456186007
614,39093.0,712.0,39035.0,15.95165862
615,39109.0,712.0,39014.0,15.66601648
616,39117.0,712.0,39048.0,14.08464773
617,39137.0,712.0,39091.0,4.857303261
618,39141.0,712.0,39070.0,4.660539707
619,39149.0,712.0,39014.0,4.658744419
620,39175.0,712.0,39018.0,1.383553748
621,47147.0,712.0,21048.0,18.86615803
622,27023.0,768.0,27015.0,22.6656261
623,17053.0,769.0,17174.0,16.66524372
624,17075.0,769.0,17175.0,4.934446059
625,17105.0,769.0,17173.0,13.23385648
626,17113.0,769.0,17173.0,18.76169813
627,17203.0,769.0,17152.0,20.18535928
628,18111.0,769.0,17175.0,21.74253569
